שיחות בגן עדן | רדיו 103FM	410
	רקע קצר	תאריך עלייה	מקור
כשהפצע הופך לשליחות	רלי דגה משתפת במסע הריפוי של בנה טוהר־חיים שנפצע במלחמה, ובאופן שבו כאב עמוק יכול להפוך לשליחות ומשמעות.	45979	https://www.tatmuda.com/the-content-directory/podcast-heaven/
על חיות, שיקופים ומוח זוחלים	על בעלי החיים בחיינו כמראות וכשותפים להתפתחות, כולל השיתוף של פריידי על הפרידה מג'ויה והלימוד התודעתי שנולד ממנה.	45986	https://www.tatmuda.com/the-content-directory/podcast-heaven/
בשבילי נברא העולם	על אחריות תודעתית, הגדלת היכולת לקבל טוב ושפע, והמעבר מהצטמצמות להסכמה שהחיים יכולים להיטיב איתנו.	45993	https://www.tatmuda.com/the-content-directory/podcast-heaven/
שפע או קורבנות? תבחרו צד!	כיצד קיטור וקורבנות מחזקים הישרדות ומרחיקים תחושת שפע, ואיך שינוי עמדה פנימית פותח אפשרות לקבל יותר.	46000	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אני שפע	שיחה עם שי־לי על המסע האישי שלה, האקזיט, בחירות לא שגרתיות והלך רוח שמאפשר לחוות ולחגוג שפע בלי להתנצל.	46007	https://www.tatmuda.com/the-content-directory/podcast-heaven/
ביזנס קלאס: שיעור בעסקים ותודעה	שיחה על עסקים מנקודת מבט תודעתית — מעבר למספרים ורווחים, אל הזהות, הבחירות והגישה שמאחורי העסק.	46021	https://www.tatmuda.com/the-content-directory/podcast-heaven/
המוח מחרטט אתכם	על האופן שבו המוח משחזר סיפורים ותכנותים ישנים, ועל תרגול שמסייע להנמיך את הרעש ולהתחבר ל'צופה' הפנימי.	46029	https://www.tatmuda.com/the-content-directory/podcast-heaven/
חיבור לקול הפנימי	על הקול השקט והיודע שבתוכנו, איך לזהות אותו בתוך רעש המיינד ואיך לקבל החלטות מתוך הקשבה פנימית.	46036	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מטאפיזיקה ורוחניות	חקירה של שאלות יסוד על חיים, מוות, גורל ובחירה, והקשר בין מטאפיזיקה לרוחניות בחיי היומיום.	46042	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מי מפחד מטוב?	למה דווקא כשמשהו טוב קורה אנחנו מתכווצים או חוששים, ואיך מגדילים את היכולת להחזיק אושר וטוב לאורך זמן.	46049	https://www.tatmuda.com/the-content-directory/podcast-heaven/
כשהפחד מפסיק לנהל אותי	על היחסים שלנו עם פחד, הדמיון בינו לבין התרגשות והאפשרות להפסיק לברוח ממנו ולהשתמש בו כתנועה קדימה.	46063	https://www.tatmuda.com/the-content-directory/podcast-heaven/
אתם הופכים למה שאתם אוכלים!	על הזנה פיזית ורגשית: לא רק מה אוכלים, אלא אילו מחשבות, מילים ואנרגיה אנחנו 'מעכלים' והופכים לחלק מהזהות.	46070	https://www.tatmuda.com/the-content-directory/podcast-heaven/
פירות הם אורות	המשך לשיח על תזונה ותודעה, עם העמקה במשמעות של מזון, פירות והאופן שבו אנחנו בוחרים במה להזין את הגוף והנפש.	46077	https://www.tatmuda.com/the-content-directory/podcast-heaven/
הגיל שלכם משקר לכם!	על לונג'ביטי והרעיון שהגיל הכרונולוגי אינו כל הסיפור; עם דגש על תשוקה, בחירות והרגלים שתומכים בחיים ארוכים ואיכותיים.	46084	https://www.tatmuda.com/the-content-directory/podcast-heaven/
הכנה לפסח	פסח כהזדמנות לראות את המציאות כמו 'סרט', לזהות את המטריקס האישי ולהיערך ליציאה מדפוסים של שעבוד לחירות.	46105	https://www.tatmuda.com/the-content-directory/podcast-heaven/
רגע של שקט	על עומס, לחץ ורעש מתמשך, והיכולת ליצור מרחב פנימי של שקט גם כשהמציאות החיצונית רועשת.	46126	https://www.tatmuda.com/the-content-directory/podcast-heaven/
למשוך בחוטים עם איריס קול	שיחה חשופה עם איריס קול על המציאות כמסך משקף, כולל מודל יהלום בלייב ועבודה על ה'חוט' הפנימי שמפעיל את הסיפור.	46133	https://www.tatmuda.com/the-content-directory/podcast-heaven/
למשוך בחוטים עם ניקי גולדשטיין	ניקי גולדשטיין בשיחה על הסרת מסכות, אמת אישית והתפתחות, כולל מודל יהלום ומשיכת חוט בשידור.	46141	https://www.tatmuda.com/the-content-directory/podcast-heaven/
חמישה מיתוסים על אהבה	ניפוץ מיתוסים על זוגיות ואהבה מהסרטים, והצגת אהבה בריאה ככזו שפוגשת פצעים וקונפליקטים וצומחת דרכם.	46148	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מישהו לרוץ איתו	על זוגיות כריצה למרחקים ארוכים: חיבור לצד טריגרים וקונפליקטים, ואיך נשארים בקשר ולא בורחים כשנעשה מורכב.	46155	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מורה טוב יחזיר אותך לעצמך	על תפקידו של מורה טוב — לא לספק תשובות מוכנות אלא לעורר, לטלטל ולהחזיר אותנו להקשבה ולסמכות הפנימית שלנו.	46161	https://www.tatmuda.com/the-content-directory/podcast-heaven/
לצאת נגד האוטומט	כמה מהחיים הם בחירה וכמה שחזור של דפוסים? פרק על 'המכתוב', מנגנונים אוטומטיים והיכולת לעצור ולבחור תגובה חדשה.	46168	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מיתוסים על מיניות	ניפוץ מיתוסים על מיניות, תשוקה ואינטימיות, והקשר בין מיניות, תודעה, שפע ועומס שמכבה את האש.	46175	https://www.tatmuda.com/the-content-directory/podcast-heaven/
לשחרר את החיה	על החלק הפראי, היצרי והיוצר שבתוכנו, ומה קורה כשמרסנים אותו יותר מדי — במיניות, בתשוקה, בשפע ובשמחת החיים.	46182	https://www.tatmuda.com/the-content-directory/podcast-heaven/
מיתוסים על כסף	ניפוץ אמונות כמו 'כסף משחית' ו'צריך לעבוד קשה כדי להרוויח', וחקירה של חסמים תודעתיים שמונעים מאיתנו לקבל יותר.	46189	https://www.tatmuda.com/the-content-directory/podcast-heaven/
להרחיב את הכלי לשפע	על היכולת לקבל: למה אנחנו מתכווצים מול מחמאה, עזרה או שפע, ואיך מרחיבים את ה'כלי' שמסוגל להכיל יותר טוב.	46197	https://www.tatmuda.com/the-content-directory/podcast-heaven/
