קטגוריה	השאלה	התשובה של פריידי	תאריך	סטטוס מקור
שפע / הישרדות	כבר שנים אני עושה עבודה כדי לצאת ממעגל ההישרדות שאני נמצאת בו. תמיד בסוף חוזרת לאותה נקודה	מעגל ההישרדות הוא אכן לופ טובעני ומושך למצולות. אני מתייחסת אליו כמחלה/פתולוגיה לכל דבר וענין. וכמו בכל מחלה, אנחנו חייבים לחקור את השורש, ולרפא אותה מהיסוד הרוחני שלה. את מוצאת את עצמך חוזרת שוב ושוב לאותו מקום, כי המוח שלך משחזר את מה שהוא מכיר. כדי להצליח לחלץ את עצמך משם אחת ולתמיד, עליך לעשות ניתוח מוח מעמיק, בשפה שלנו "פרוטוקול צריבה".	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
רגישות / חשיבת יתר	איך להשתמש באינטליגנציה רגשית גבוהה כיתרון ולא ליפול לחשיבת יתר עם כל משפט שמישהו אומר?	קללללל! קבלי את הטיפ של החיים: אינטליגנציה רגשית היא מתנה כשהלב נשאר פתוח אבל לא עסוק בתחת של עצמו. כשהתבוננות רגשית מופנית כל הזמן פנימה, היא הופכת למלכודת!	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
עסק / משיכת חוטים	אם אני רוצה למשוך לקוחות לעסק, אבל מתחת לזה יש פחדים וטראומות?	זה בדיוק הקטע עם משיכת חוט, את קודם צריכה לערוך מודל יהלום ולהבין מה בדיוק הפחד/הטראומה שיושבת מתחת (להלן: הפער) ואותו לשחרר. בלי שתשחררי אותו, החוט החדש (הלקוחות לעסק) לא יוכלו להמשך....	05.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
זוגיות / אהבה עצמית	איך מוצאים זוגיות בעידן הזה?	מתחילים לתרגל זוגיות עם עצמך! לשיטת המטאיזם, כל אהבה, אינה אלא השתקפות ושכפול של אהבה עצמית. השקיעי בזוגיות איתך, והשאר כבר יגיע....	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
אמונות ליבה	איך פוגשים אמונות ליבה? משיכת חוט עושה שינוי מהותי אבל לא תמיד משנה את הליבה	אכן. לא פעם נדרשת עבודה יותר מעמיקה ממשיכות חוטים יומיומיות, ולשם כך אנחנו מזמינות לטיפול אישי ממוקד, לצורך התערבות עמוקה יותר, בשפתנו "פרוטוקול צריבה" המעדכן ומשדרג את מנגנון הליבה.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
מטריקס	מציאות שמושכת כל הזמן למטריקס, זה בכוונה כך?	בהחלט! המטריקס מתוכנת למשוך אותנו למצולות, להפריע לנו לזכור שאנחנו אלוהים! בשביל זה בדיוק אנחנו נדרשים לתרגל מודעות כאורח חיים, ורגע רגע לזכור שאנחנו מקרינים את הסרט שלנו ולא ללכת לאיבוד בתוכו.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
מערכות יחסים / נדיבות	איך שומרים על נדיבות באינטגראקציה כשהצד השני לא נדיב?	מזכירים לעצמנו שהצד השני הוא רק מראה! לא נאבקים בו ולא מגיבים לרטט שלו, אלא מתעקשים להשאר בנדיבות שלנו וזוכרים שאנחנו מעניקים בנדיבות - לעצמנו! לחלקים הלא נדיבים שבנו....	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
אי-היצמדות	איך אפשר לעבוד על לא לחיות בהיאחזות במימד הארצי והחומרי בו אנו חיים?	ככל שנזכור שאנחנו חיים בסרט. בהולגרמה מתוחכמת, ושכל מה שאנחנו אוחזים בו אינו אמיתי, כך נשתחרר מהצורך לאחוז ולהיצמד.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
מטריקס / מציאות	איך נדע להבדיל בין החיים במטריקס לבין המציאות?	אין הבדל! החיים במטריקס - זו המציאות! ככל שנעבוד פנימה בתוכנו, תודעתית, כך אנחנו נקרין לעצמנו מציאות ראויה, סרט שהוא גן עדן עלי אדמות.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
תדר	מה זה תדר? ואיך הוא משפיע על החיים שלנו?	תדר הוא הרטט הפנימי שאנחנו משדרים, והוא זה שקובע מה יוקרן על מסך המציאות שלנו.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
זוגיות / גבולות	האם אחרי מריבה עם בעלי אני יכולה לשים לו גבולות שלא יירד נמוך כל כך בשיח שלנו, וגם שלא יריב איתי ליד הילדים?	בוודאי! גבולות הם ביטוי לאהבה עצמית. אלא שהגבול הוא לא רק מול בעלך, אלא גם מול עצמך! חשוב לשים לו גבולות ברורים, אך לזכור שהמריבה בסופו של דבר היא מסך שלך עצמך. ברגע שאת בתוכך תבחרי שלא יורדים למקומות נמוכים או רבים ליד הילדים, הוא ישקף לך את הבחירה והגבול הזה.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
הרס עצמי	את חושבת שאנחנו יכולים להרוס את מה שאמור להיות שלנו?	בהחלט. יצר לב האדם רע מנעוריו.... הרס עצמי וחבלה פנימית הם חלק בלתי נפרד מהאלוהים שאנחנו. ככל שאנחנו חיים מודעות כאורח חיים, אנחנו לומדים להמנע מהרס, ולדבוק בחיים.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
רוח וחומר / הגשמה	השליחות שלי היא להביא רוחניות ולמזג אותה פרקטית בחיים האלה, איך עושים את זה?	רוחניות מעשית היא כשאני לא רק מבינה, אלא גם מתנהלת בהתאם. חיים רוחניים לא מתבטאים רק במדיטציות ויוגה, אלא בחיים של שפע בבנק, בזוגיות, במערכות יחסים ובכל צעד ושעל בחיים על פני האדמה.	12.10.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
זוגיות / פרידה	עשיתי המון עבודה על הזוגיות, והוא עדיין רוצה להיפרד. האם לא עשיתי מספיק?	היי אהובה, קודם כל מחבקת אותך!! לעבור פרידה זה כואב, לא משנה אם זה בפועל לטובתך.... נשמע שעשית די והותר. וגם אם לא, זה לא משנה. ברגע שמישהו אומר לך שהוא רוצה ללכת, או לא בטוח אם הוא אוהב אותך, אז שילך לחפש ת'חברים שלו.... מי שיזכה בך יבין את גודל הטוב שאת מביאה איתך! אנחנו לא רוצות להיות בשום אופן עם מישהו שלא בוחר בנו עד הסוף!	08.06.2025	מקורי – מופיע כטקסט בייצוא הצ׳אט
